home,day,start,end,minutes
h4,2018-08-23,2018-08-23 22:10:00+00:00,2018-08-23 22:30:00+00:00,20
h4,2018-08-23,2018-08-23 22:40:00+00:00,2018-08-23 22:50:00+00:00,10
h4,2018-08-24,2018-08-24 13:20:00+00:00,2018-08-24 22:50:00+00:00,570
h4,2018-08-25,2018-08-25 14:30:00+00:00,2018-08-25 14:40:00+00:00,10
h4,2018-08-25,2018-08-25 15:00:00+00:00,2018-08-25 15:10:00+00:00,10
h4,2018-08-25,2018-08-25 15:30:00+00:00,2018-08-25 15:40:00+00:00,10
h4,2018-08-25,2018-08-25 16:20:00+00:00,2018-08-25 16:40:00+00:00,20
h4,2018-08-25,2018-08-25 17:20:00+00:00,2018-08-25 18:10:00+00:00,50
h4,2018-08-25,2018-08-25 18:20:00+00:00,2018-08-25 19:20:00+00:00,60
h4,2018-08-25,2018-08-25 19:30:00+00:00,2018-08-25 20:10:00+00:00,40
h4,2018-08-25,2018-08-25 21:00:00+00:00,2018-08-25 21:40:00+00:00,40
h4,2018-08-25,2018-08-25 22:00:00+00:00,2018-08-25 22:10:00+00:00,10
h4,2018-08-25,2018-08-25 22:20:00+00:00,2018-08-25 22:30:00+00:00,10
h5,2018-08-23,2018-08-23 13:40:00+00:00,2018-08-23 17:10:00+00:00,210
h5,2018-08-23,2018-08-23 18:00:00+00:00,2018-08-23 18:20:00+00:00,20
h5,2018-08-23,2018-08-23 18:40:00+00:00,2018-08-23 18:50:00+00:00,10
h5,2018-08-23,2018-08-23 19:20:00+00:00,2018-08-23 19:30:00+00:00,10
h5,2018-08-23,2018-08-23 19:40:00+00:00,2018-08-23 20:00:00+00:00,20
h5,2018-08-23,2018-08-23 20:10:00+00:00,2018-08-23 20:30:00+00:00,20
h5,2018-08-23,2018-08-23 20:40:00+00:00,2018-08-23 21:10:00+00:00,30
h5,2018-08-23,2018-08-23 21:20:00+00:00,2018-08-23 21:30:00+00:00,10
h5,2018-08-24,2018-08-24 14:10:00+00:00,2018-08-24 15:10:00+00:00,60
h5,2018-08-24,2018-08-24 15:30:00+00:00,2018-08-24 16:10:00+00:00,40
h5,2018-08-24,2018-08-24 16:30:00+00:00,2018-08-24 17:20:00+00:00,50
h5,2018-08-24,2018-08-24 17:30:00+00:00,2018-08-24 17:50:00+00:00,20
h5,2018-08-24,2018-08-24 18:10:00+00:00,2018-08-24 19:00:00+00:00,50
h5,2018-08-24,2018-08-24 19:10:00+00:00,2018-08-24 19:30:00+00:00,20
h5,2018-08-24,2018-08-24 19:40:00+00:00,2018-08-24 20:00:00+00:00,20
h5,2018-08-24,2018-08-24 20:10:00+00:00,2018-08-24 20:30:00+00:00,20
h5,2018-08-24,2018-08-24 20:40:00+00:00,2018-08-24 21:10:00+00:00,30
h5,2018-08-25,2018-08-25 14:50:00+00:00,2018-08-25 15:00:00+00:00,10
h5,2018-08-25,2018-08-25 16:00:00+00:00,2018-08-25 17:30:00+00:00,90
h5,2018-08-25,2018-08-25 18:20:00+00:00,2018-08-25 19:40:00+00:00,80
h5,2018-08-25,2018-08-25 20:00:00+00:00,2018-08-25 20:30:00+00:00,30
